sample_accession	run_accession	library_layout	organism	Platform	UMI	study_accession	Tissue	Covariate	Age	integration_group	TissueNote	Source	bam10x	Comment	biosample	Organ	sex	retina_region	strain
SRS5055134	SRR9630290	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921536: sample_R49_C52; Homo sapiens; RNA-Seq | NA | sample_R49_C52	Tissue	NA	NA	SAMN12199349	Eye	NA	NA	NA
SRS5055132	SRR9629289	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921095: sample_R30_C20; Homo sapiens; RNA-Seq | NA | sample_R30_C20	Tissue	NA	NA	SAMN12199781	Eye	NA	NA	NA
SRS5055131	SRR9629288	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921094: sample_R30_C15; Homo sapiens; RNA-Seq | NA | sample_R30_C15	Tissue	NA	NA	SAMN12199782	Eye	NA	NA	NA
SRS5055129	SRR9629287	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921093: sample_R2_C8; Homo sapiens; RNA-Seq | NA | sample_R2_C8	Tissue	NA	NA	SAMN12199783	Eye	NA	NA	NA
SRS5055130	SRR9629286	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921092: sample_R2_C69; Homo sapiens; RNA-Seq | NA | sample_R2_C69	Tissue	NA	NA	SAMN12199784	Eye	NA	NA	NA
SRS5055128	SRR9629285	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921091: sample_R2_C67; Homo sapiens; RNA-Seq | NA | sample_R2_C67	Tissue	NA	NA	SAMN12199846	Eye	NA	NA	NA
SRS5055127	SRR9629284	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921090: sample_R2_C5; Homo sapiens; RNA-Seq | NA | sample_R2_C5	Tissue	NA	NA	SAMN12199785	Eye	NA	NA	NA
SRS5055126	SRR9629283	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921089: sample_R2_C59; Homo sapiens; RNA-Seq | NA | sample_R2_C59	Tissue	NA	NA	SAMN12199786	Eye	NA	NA	NA
SRS5055124	SRR9629282	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3921088: sample_R2_C53; Homo sapiens; RNA-Seq | NA | sample_R2_C53	Tissue	NA	NA	SAMN12199787	Eye	NA	NA	NA
SRS5055125	SRR9628441	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3920647: Per_R67_C28; Homo sapiens; RNA-Seq | NA | Per_R67_C28	Tissue	NA	NA	SAMN12194943	Eye	NA	NA	NA
SRS5055123	SRR9628440	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3920646: Per_R66_C35; Homo sapiens; RNA-Seq | NA | Per_R66_C35	Tissue	NA	NA	SAMN12194944	Eye	NA	NA	NA
SRS5055122	SRR9628439	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3920645: Per_R66_C32; Homo sapiens; RNA-Seq | NA | Per_R66_C32	Tissue	NA	NA	SAMN12194945	Eye	NA	NA	NA
SRS5055121	SRR9628438	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3920644: Per_R66_C30; Homo sapiens; RNA-Seq | NA | Per_R66_C30	Tissue	NA	NA	SAMN12194946	Eye	NA	NA	NA
SRS5055120	SRR9628437	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3920643: Per_R65_C48; Homo sapiens; RNA-Seq | NA | Per_R65_C48	Tissue	NA	NA	SAMN12194947	Eye	NA	NA	NA
SRS5055119	SRR9628436	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3920642: Per_R65_C3; Homo sapiens; RNA-Seq | NA | Per_R65_C3	Tissue	NA	NA	SAMN12194948	Eye	NA	NA	NA
SRS5055118	SRR9628435	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3920641: Per_R65_C2; Homo sapiens; RNA-Seq | NA | Per_R65_C2	Tissue	NA	NA	SAMN12194949	Eye	NA	NA	NA
SRS5055117	SRR9628434	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3920640: Per_R65_C27; Homo sapiens; RNA-Seq | NA | Per_R65_C27	Tissue	NA	NA	SAMN12194950	Eye	NA	NA	NA
SRS5055115	SRR9633984	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3920207: M_R64_C69; Homo sapiens; RNA-Seq | NA | M_R64_C69	Tissue	NA	NA	SAMN12197171	Eye	NA	NA	NA
SRS5055116	SRR9633983	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3920206: M_R64_C62; Homo sapiens; RNA-Seq | NA | M_R64_C62	Tissue	NA	NA	SAMN12197184	Eye	NA	NA	NA
SRS5055114	SRR9633982	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3920205: M_R64_C41; Homo sapiens; RNA-Seq | NA | M_R64_C41	Tissue	NA	NA	SAMN12197185	Eye	NA	NA	NA
SRS5055113	SRR9633981	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3920204: M_R64_C18; Homo sapiens; RNA-Seq | NA | M_R64_C18	Tissue	NA	NA	SAMN12197186	Eye	NA	NA	NA
SRS5055112	SRR9633980	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3920203: M_R64_C17; Homo sapiens; RNA-Seq | NA | M_R64_C17	Tissue	NA	NA	SAMN12197187	Eye	NA	NA	NA
SRS5055111	SRR9633979	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3920202: M_R64_C13; Homo sapiens; RNA-Seq | NA | M_R64_C13	Tissue	NA	NA	SAMN12197188	Eye	NA	NA	NA
SRS5055110	SRR9633978	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3920201: M_R63_C66; Homo sapiens; RNA-Seq | NA | M_R63_C66	Tissue	NA	NA	SAMN12197189	Eye	NA	NA	NA
SRS5055109	SRR9633977	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3920200: M_R63_C61; Homo sapiens; RNA-Seq | NA | M_R63_C61	Tissue	NA	NA	SAMN12197190	Eye	NA	NA	NA
SRS5055108	SRR9633074	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919759: Macular_R7_C34; Homo sapiens; RNA-Seq | NA | Macular_R7_C34	Tissue	NA	NA	SAMN12190919	Eye	NA	Macula	NA
SRS5055107	SRR9633073	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919758: Macular_R7_C32; Homo sapiens; RNA-Seq | NA | Macular_R7_C32	Tissue	NA	NA	SAMN12190920	Eye	NA	Macula	NA
SRS5055106	SRR9633072	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919757: Macular_R7_C28; Homo sapiens; RNA-Seq | NA | Macular_R7_C28	Tissue	NA	NA	SAMN12190921	Eye	NA	Macula	NA
SRS5055105	SRR9633071	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919756: Macular_R7_C20; Homo sapiens; RNA-Seq | NA | Macular_R7_C20	Tissue	NA	NA	SAMN12191162	Eye	NA	Macula	NA
SRS5055104	SRR9633070	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919755: Macular_R7_C18; Homo sapiens; RNA-Seq | NA | Macular_R7_C18	Tissue	NA	NA	SAMN12191163	Eye	NA	Macula	NA
SRS5055103	SRR9633069	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919754: Macular_R7_C16; Homo sapiens; RNA-Seq | NA | Macular_R7_C16	Tissue	NA	NA	SAMN12191164	Eye	NA	Macula	NA
SRS5055102	SRR9632988	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919753: Macular_R7_C10; Homo sapiens; RNA-Seq | NA | Macular_R7_C10	Tissue	NA	NA	SAMN12191165	Eye	NA	Macula	NA
SRS5055101	SRR9632987	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919752: Macular_R71_C70; Homo sapiens; RNA-Seq | NA | Macular_R71_C70	Tissue	NA	NA	SAMN12191166	Eye	NA	Macula	NA
SRS5055100	SRR9632257	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919343: Macular_R50_C64; Homo sapiens; RNA-Seq | NA | Macular_R50_C64	Tissue	NA	NA	SAMN12190887	Eye	NA	Macula	NA
SRS5055099	SRR9632256	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919342: Macular_R50_C57; Homo sapiens; RNA-Seq | NA | Macular_R50_C57	Tissue	NA	NA	SAMN12190888	Eye	NA	Macula	NA
SRS5055098	SRR9632255	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919341: Macular_R50_C56; Homo sapiens; RNA-Seq | NA | Macular_R50_C56	Tissue	NA	NA	SAMN12190889	Eye	NA	Macula	NA
SRS5055097	SRR9632254	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919340: Macular_R50_C55; Homo sapiens; RNA-Seq | NA | Macular_R50_C55	Tissue	NA	NA	SAMN12190890	Eye	NA	Macula	NA
SRS5055096	SRR9632253	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919339: Macular_R50_C53; Homo sapiens; RNA-Seq | NA | Macular_R50_C53	Tissue	NA	NA	SAMN12190891	Eye	NA	Macula	NA
SRS5055095	SRR9632252	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919338: Macular_R50_C52; Homo sapiens; RNA-Seq | NA | Macular_R50_C52	Tissue	NA	NA	SAMN12190892	Eye	NA	Macula	NA
SRS5055094	SRR9632251	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919337: Macular_R50_C49; Homo sapiens; RNA-Seq | NA | Macular_R50_C49	Tissue	NA	NA	SAMN12190577	Eye	NA	Macula	NA
SRS5055093	SRR9632250	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3919336: Macular_R50_C46; Homo sapiens; RNA-Seq | NA | Macular_R50_C46	Tissue	NA	NA	SAMN12190576	Eye	NA	Macula	NA
SRS5055091	SRR9631441	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3918927: Macular_R25_C66; Homo sapiens; RNA-Seq | NA | Macular_R25_C66	Tissue	NA	NA	SAMN12189979	Eye	NA	Macula	NA
SRS5055090	SRR9631440	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3918926: Macular_R25_C59; Homo sapiens; RNA-Seq | NA | Macular_R25_C59	Tissue	NA	NA	SAMN12189975	Eye	NA	Macula	NA
SRS5055089	SRR9631439	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3918925: Macular_R25_C58; Homo sapiens; RNA-Seq | NA | Macular_R25_C58	Tissue	NA	NA	SAMN12189976	Eye	NA	Macula	NA
SRS5055088	SRR9631438	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3918924: Macular_R25_C57; Homo sapiens; RNA-Seq | NA | Macular_R25_C57	Tissue	NA	NA	SAMN12189977	Eye	NA	Macula	NA
SRS5055087	SRR9631437	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3918923: Macular_R25_C52; Homo sapiens; RNA-Seq | NA | Macular_R25_C52	Tissue	NA	NA	SAMN12189980	Eye	NA	Macula	NA
SRS5055092	SRR9631436	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3918922: Macular_R25_C32; Homo sapiens; RNA-Seq | NA | Macular_R25_C32	Tissue	NA	NA	SAMN12189981	Eye	NA	Macula	NA
SRS5055086	SRR9631435	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3918921: Macular_R25_C26; Homo sapiens; RNA-Seq | NA | Macular_R25_C26	Tissue	NA	NA	SAMN12189982	Eye	NA	Macula	NA
SRS5055084	SRR9631434	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P2	Adult	NA	GSM3918920: Macular_R25_C1; Homo sapiens; RNA-Seq | NA | Macular_R25_C1	Tissue	NA	NA	SAMN12189983	Eye	NA	Macula	NA
SRS5055085	SRR9630649	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918535: Periph_Nuc_R60_C39; Homo sapiens; RNA-Seq | NA | Periph_Nuc_R60_C39	Tissue	NA	NA	SAMN12190481	Eye	NA	Peripheral	NA
SRS5055083	SRR9630648	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918534: Periph_Nuc_R60_C37; Homo sapiens; RNA-Seq | NA | Periph_Nuc_R60_C37	Tissue	NA	NA	SAMN12190482	Eye	NA	Peripheral	NA
SRS5055082	SRR9630647	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918533: Periph_Nuc_R60_C36; Homo sapiens; RNA-Seq | NA | Periph_Nuc_R60_C36	Tissue	NA	NA	SAMN12190483	Eye	NA	Peripheral	NA
SRS5055081	SRR9630646	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918532: Periph_Nuc_R60_C23; Homo sapiens; RNA-Seq | NA | Periph_Nuc_R60_C23	Tissue	NA	NA	SAMN12190484	Eye	NA	Peripheral	NA
SRS5055080	SRR9630645	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918531: Periph_Nuc_R60_C20; Homo sapiens; RNA-Seq | NA | Periph_Nuc_R60_C20	Tissue	NA	NA	SAMN12190485	Eye	NA	Peripheral	NA
SRS5055079	SRR9630644	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918530: Periph_Nuc_R60_C16; Homo sapiens; RNA-Seq | NA | Periph_Nuc_R60_C16	Tissue	NA	NA	SAMN12190486	Eye	NA	Peripheral	NA
SRS5055078	SRR9630643	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918529: Periph_Nuc_R59_C69; Homo sapiens; RNA-Seq | NA | Periph_Nuc_R59_C69	Tissue	NA	NA	SAMN12190487	Eye	NA	Peripheral	NA
SRS5055077	SRR9630642	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918528: Periph_Nuc_R59_C68; Homo sapiens; RNA-Seq | NA | Periph_Nuc_R59_C68	Tissue	NA	NA	SAMN12190488	Eye	NA	Peripheral	NA
SRS5055076	SRR9629809	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918095: Macu_Nuc_R56_C1; Homo sapiens; RNA-Seq | NA | Macu_Nuc_R56_C1	Tissue	NA	NA	SAMN12189477	Eye	NA	NA	NA
SRS5055075	SRR9629808	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918094: Macu_Nuc_R56_C10; Homo sapiens; RNA-Seq | NA | Macu_Nuc_R56_C10	Tissue	NA	NA	SAMN12189478	Eye	NA	NA	NA
SRS5055074	SRR9629807	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918093: Macu_Nuc_R55_C7; Homo sapiens; RNA-Seq | NA | Macu_Nuc_R55_C7	Tissue	NA	NA	SAMN12189479	Eye	NA	NA	NA
SRS5055073	SRR9629806	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918092: Macu_Nuc_R55_C5; Homo sapiens; RNA-Seq | NA | Macu_Nuc_R55_C5	Tissue	NA	NA	SAMN12189480	Eye	NA	NA	NA
SRS5055072	SRR9629805	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918091: Macu_Nuc_R55_C59; Homo sapiens; RNA-Seq | NA | Macu_Nuc_R55_C59	Tissue	NA	NA	SAMN12189481	Eye	NA	NA	NA
SRS5055071	SRR9629804	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918090: Macu_Nuc_R55_C51; Homo sapiens; RNA-Seq | NA | Macu_Nuc_R55_C51	Tissue	NA	NA	SAMN12189482	Eye	NA	NA	NA
SRS5055070	SRR9629803	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918089: Macu_Nuc_R55_C48; Homo sapiens; RNA-Seq | NA | Macu_Nuc_R55_C48	Tissue	NA	NA	SAMN12189483	Eye	NA	NA	NA
SRS5055069	SRR9629802	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3918088: Macu_Nuc_R55_C2; Homo sapiens; RNA-Seq | NA | Macu_Nuc_R55_C2	Tissue	NA	NA	SAMN12189491	Eye	NA	NA	NA
SRS5055067	SRR9628881	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917647: Mac1cell_R62_C9; Homo sapiens; RNA-Seq | NA | Mac1cell_R62_C9	Tissue	NA	NA	SAMN12189152	Eye	NA	NA	NA
SRS5055068	SRR9628880	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917646: Mac1cell_R62_C68; Homo sapiens; RNA-Seq | NA | Mac1cell_R62_C68	Tissue	NA	NA	SAMN12189163	Eye	NA	NA	NA
SRS5055066	SRR9628879	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917645: Mac1cell_R62_C64; Homo sapiens; RNA-Seq | NA | Mac1cell_R62_C64	Tissue	NA	NA	SAMN12189164	Eye	NA	NA	NA
SRS5055065	SRR9628878	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917644: Mac1cell_R62_C63; Homo sapiens; RNA-Seq | NA | Mac1cell_R62_C63	Tissue	NA	NA	SAMN12189165	Eye	NA	NA	NA
SRS5055064	SRR9628877	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917643: Mac1cell_R62_C60; Homo sapiens; RNA-Seq | NA | Mac1cell_R62_C60	Tissue	NA	NA	SAMN12189166	Eye	NA	NA	NA
SRS5055063	SRR9628876	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917642: Mac1cell_R62_C51; Homo sapiens; RNA-Seq | NA | Mac1cell_R62_C51	Tissue	NA	NA	SAMN12189168	Eye	NA	NA	NA
SRS5055062	SRR9628875	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917641: Mac1cell_R62_C47; Homo sapiens; RNA-Seq | NA | Mac1cell_R62_C47	Tissue	NA	NA	SAMN12189169	Eye	NA	NA	NA
SRS5055060	SRR9628874	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917640: Mac1cell_R62_C46; Homo sapiens; RNA-Seq | NA | Mac1cell_R62_C46	Tissue	NA	NA	SAMN12189170	Eye	NA	NA	NA
SRS5055061	SRR9633912	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3916855: Mac1cell_R1_C52; Homo sapiens; RNA-Seq | NA | Mac1cell_R1_C52	Tissue	NA	NA	SAMN12188227	Eye	NA	NA	NA
SRS5055059	SRR9633911	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3916854: Mac1cell_R1_C51; Homo sapiens; RNA-Seq | NA | Mac1cell_R1_C51	Tissue	NA	NA	SAMN12188228	Eye	NA	NA	NA
SRS5055058	SRR9633910	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3916853: Mac1cell_R1_C4; Homo sapiens; RNA-Seq | NA | Mac1cell_R1_C4	Tissue	NA	NA	SAMN12188229	Eye	NA	NA	NA
SRS5055057	SRR9633909	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3916852: Mac1cell_R1_C46; Homo sapiens; RNA-Seq | NA | Mac1cell_R1_C46	Tissue	NA	NA	SAMN12187814	Eye	NA	NA	NA
SRS5055056	SRR9633908	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3916851: Mac1cell_R1_C40; Homo sapiens; RNA-Seq | NA | Mac1cell_R1_C40	Tissue	NA	NA	SAMN12187815	Eye	NA	NA	NA
SRS5055055	SRR9633907	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3916850: Mac1cell_R1_C37; Homo sapiens; RNA-Seq | NA | Mac1cell_R1_C37	Tissue	NA	NA	SAMN12187817	Eye	NA	NA	NA
SRS5055054	SRR9633906	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3916849: Mac1cell_R1_C36; Homo sapiens; RNA-Seq | NA | Mac1cell_R1_C36	Tissue	NA	NA	SAMN12187818	Eye	NA	NA	NA
SRS5055053	SRR9633905	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3916848: Mac1cell_R1_C35; Homo sapiens; RNA-Seq | NA | Mac1cell_R1_C35	Tissue	NA	NA	SAMN12187812	Eye	NA	NA	NA
SRS5055052	SRR9628177	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917263: Mac1cell_R40_C65; Homo sapiens; RNA-Seq | NA | Mac1cell_R40_C65	Tissue	NA	NA	SAMN12188476	Eye	NA	NA	NA
SRS5055050	SRR9628176	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917262: Mac1cell_R40_C64; Homo sapiens; RNA-Seq | NA | Mac1cell_R40_C64	Tissue	NA	NA	SAMN12188477	Eye	NA	NA	NA
SRS5055051	SRR9628175	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917261: Mac1cell_R40_C59; Homo sapiens; RNA-Seq | NA | Mac1cell_R40_C59	Tissue	NA	NA	SAMN12188479	Eye	NA	NA	NA
SRS5055049	SRR9628174	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917260: Mac1cell_R40_C58; Homo sapiens; RNA-Seq | NA | Mac1cell_R40_C58	Tissue	NA	NA	SAMN12188480	Eye	NA	NA	NA
SRS5055048	SRR9628173	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917259: Mac1cell_R40_C52; Homo sapiens; RNA-Seq | NA | Mac1cell_R40_C52	Tissue	NA	NA	SAMN12188481	Eye	NA	NA	NA
SRS5055047	SRR9628172	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917258: Mac1cell_R40_C43; Homo sapiens; RNA-Seq | NA | Mac1cell_R40_C43	Tissue	NA	NA	SAMN12188482	Eye	NA	NA	NA
SRS5055045	SRR9628171	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917257: Mac1cell_R40_C3; Homo sapiens; RNA-Seq | NA | Mac1cell_R40_C3	Tissue	NA	NA	SAMN12188483	Eye	NA	NA	NA
SRS5055046	SRR9628170	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P1	Adult	NA	GSM3917256: Mac1cell_R40_C36; Homo sapiens; RNA-Seq | NA | Mac1cell_R40_C36	Tissue	NA	NA	SAMN12188485	Eye	NA	NA	NA
SRS5055044	SRR9633660	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3923135: Per_R71_C17; Homo sapiens; RNA-Seq | NA | Per_R71_C17	Tissue	NA	NA	SAMN12201122	Eye	NA	NA	NA
SRS5055043	SRR9633659	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3923134: Per_R71_C14; Homo sapiens; RNA-Seq | NA | Per_R71_C14	Tissue	NA	NA	SAMN12201126	Eye	NA	NA	NA
SRS5055042	SRR9633658	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3923133: Per_R71_C12; Homo sapiens; RNA-Seq | NA | Per_R71_C12	Tissue	NA	NA	SAMN12201127	Eye	NA	NA	NA
SRS5055041	SRR9633657	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3923132: Per_R70_C71; Homo sapiens; RNA-Seq | NA | Per_R70_C71	Tissue	NA	NA	SAMN12201128	Eye	NA	NA	NA
SRS5055040	SRR9633656	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3923131: Per_R70_C62; Homo sapiens; RNA-Seq | NA | Per_R70_C62	Tissue	NA	NA	SAMN12201129	Eye	NA	NA	NA
SRS5055038	SRR9633655	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3923130: Per_R70_C45; Homo sapiens; RNA-Seq | NA | Per_R70_C45	Tissue	NA	NA	SAMN12201123	Eye	NA	NA	NA
SRS5055039	SRR9633654	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3923129: Per_R70_C38; Homo sapiens; RNA-Seq | NA | Per_R70_C38	Tissue	NA	NA	SAMN12201125	Eye	NA	NA	NA
SRS5055037	SRR9633653	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3923128: Per_R70_C37; Homo sapiens; RNA-Seq | NA | Per_R70_C37	Tissue	NA	NA	SAMN12201130	Eye	NA	NA	NA
SRS5055036	SRR9632561	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922687: Per_R33_C37; Homo sapiens; RNA-Seq | NA | Per_R33_C37	Tissue	NA	NA	SAMN12201494	Eye	NA	NA	NA
SRS5055035	SRR9632560	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922686: Per_R33_C21; Homo sapiens; RNA-Seq | NA | Per_R33_C21	Tissue	NA	NA	SAMN12201495	Eye	NA	NA	NA
SRS5055034	SRR9632559	SINGLE	Homo sapiens	SCRBSeq	No	SRP212788	Retina	P3	Adult	NA	GSM3922685: Per_R33_C17; Homo sapiens; RNA-Seq | NA | Per_R33_C17	Tissue	NA	NA	SAMN12201496	Eye	NA	NA	NA
