Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
ACSM2	current symbol	MGI:2385289	Acsm2	acyl-CoA synthetase medium-chain family member 2	protein coding gene
ACTBL2	current symbol	MGI:2444552	Actbl2	actin, beta-like 2	protein coding gene
ACTL9	current symbol	MGI:1916731	Actl9	actin-like 9	protein coding gene
ACTRT1	current symbol	MGI:1920610	Actrt1	actin-related protein T1	protein coding gene
ADAM1A	current symbol	MGI:2429504	Adam1a	a disintegrin and metallopeptidase domain 1a	protein coding gene
ADAM1A	cattle symbol	MGI:2429506	Adam1b	a disintegrin and metallopeptidase domain 1b	protein coding gene
ADAM1B	current symbol	MGI:2429506	Adam1b	a disintegrin and metallopeptidase domain 1b	protein coding gene
ADAM24	current symbol	MGI:105984	Adam24	a disintegrin and metallopeptidase domain 24 (testase 1)	protein coding gene
ADAM25	current symbol	MGI:1345157	Adam25	a disintegrin and metallopeptidase domain 25 (testase 2)	protein coding gene
ADAM26A	current symbol	MGI:105985	Adam26a	a disintegrin and metallopeptidase domain 26A (testase 3)	protein coding gene
ADAM26B	current symbol	MGI:3588304	Adam26b	a disintegrin and metallopeptidase domain 26B	protein coding gene
ADAM3	current symbol	MGI:102518	Adam3	a disintegrin and metallopeptidase domain 3 (cyritestin)	protein coding gene
ADAM34	current symbol	MGI:2181992	Adam34	a disintegrin and metallopeptidase domain 34	protein coding gene
ADAM39	current symbol	MGI:3045694	Adam39	a disintegrin and metallopeptidase domain 39	protein coding gene
ADAM4	current symbol	MGI:104731	Adam4	a disintegrin and metallopeptidase domain 4	protein coding gene
ADAM4	rat symbol	MGI:3646380	Gm4787	predicted gene 4787	protein coding gene
ADAM5	current symbol	MGI:104730	Adam5	a disintegrin and metallopeptidase domain 5	protein coding gene
ADAM6A	current symbol	MGI:2676316	Adam6a	a disintegrin and metallopeptidase domain 6A	protein coding gene
ADAM6B	current symbol	MGI:2444636	Adam6b	a disintegrin and metallopeptidase domain 6B	protein coding gene
ADC	old symbol	MGI:2442093	Azin2	antizyme inhibitor 2	protein coding gene
ADC	human synonym	MGI:1920998	Gadl1	glutamate decarboxylase-like 1	protein coding gene
ADCK3	old symbol	MGI:1914676	Coq8a	coenzyme Q8A	protein coding gene
ADCK4	old symbol	MGI:1924139	Coq8b	coenzyme Q8B	protein coding gene
ADH1	current symbol	MGI:87921	Adh1	alcohol dehydrogenase 1 (class I)	protein coding gene
ADH6-PS1	current symbol	MGI:1918999	Adh6-ps1	alcohol dehydrogenase 6 (class V), pseudogene 1	pseudogene
ADH6A	current symbol	MGI:1916367	Adh6a	alcohol dehydrogenase 6A (class V)	protein coding gene
ADRBK1	old symbol	MGI:87940	Grk2	G protein-coupled receptor kinase 2	protein coding gene
ADRBK2	old symbol	MGI:87941	Grk3	G protein-coupled receptor kinase 3	protein coding gene
AES	old symbol	MGI:95806	Tle5	TLE family member 5, transcriptional modulator	protein coding gene
AFG3L1	current symbol	MGI:1928277	Afg3l1	AFG3-like AAA ATPase 1	protein coding gene
AFM	current symbol	MGI:2429409	Afm	afamin	protein coding gene
AGPAT6	old symbol	MGI:2142716	Gpat4	glycerol-3-phosphate acyltransferase 4	protein coding gene
AGPAT9	old symbol	MGI:3603816	Gpat3	glycerol-3-phosphate acyltransferase 3	protein coding gene
AGPAT9	human synonym	MGI:2384812	Lpcat1	lysophosphatidylcholine acyltransferase 1	protein coding gene
AGPHD1	old symbol	MGI:2443139	Hykk	hydroxylysine kinase 1	protein coding gene
AGTR1A	current symbol	MGI:87964	Agtr1a	angiotensin II receptor, type 1a	protein coding gene
AGTR1A	zebrafish symbol	MGI:87965	Agtr1b	angiotensin II receptor, type 1b	protein coding gene
AGTR1B	human synonym	MGI:87964	Agtr1a	angiotensin II receptor, type 1a	protein coding gene
AGTR1B	current symbol	MGI:87965	Agtr1b	angiotensin II receptor, type 1b	protein coding gene
AGXT2L1	old symbol	MGI:1919010	Etnppl	ethanolamine phosphate phospholyase	protein coding gene
AGXT2L2	old symbol	MGI:1920197	Phykpl	5-phosphohydroxy-L-lysine phospholyase	protein coding gene
AHSA2	current symbol	MGI:1916133	Ahsa2	AHA1, activator of heat shock protein ATPase 2	protein coding gene
AIM1	human synonym	MGI:107168	Aurkb	aurora kinase B	protein coding gene
AIM1	old symbol	MGI:109544	Crybg1	crystallin beta-gamma domain containing 1	protein coding gene
AIM1	synonym	MGI:2153040	Slc45a2	solute carrier family 45, member 2	protein coding gene
AIM1L	old symbol	MGI:1334463	Crybg2	crystallin beta-gamma domain containing 2	protein coding gene
AIRN	current symbol	MGI:1353471	Airn	antisense Igf2r RNA	antisense lncRNA gene
AKAP17B	current symbol	MGI:2443758	Akap17b	A kinase (PRKA) anchor protein 17B	protein coding gene
AKP3	current symbol	MGI:87984	Akp3	alkaline phosphatase 3, intestine, not Mn requiring	protein coding gene
AKR1B3	current symbol	MGI:1353494	Akr1b3	aldo-keto reductase family 1, member B3 (aldose reductase)	protein coding gene
AKR1B7	current symbol	MGI:101918	Akr1b7	aldo-keto reductase family 1, member B7	protein coding gene
AKR1B8	current symbol	MGI:107673	Akr1b8	aldo-keto reductase family 1, member B8	protein coding gene
AKR1C12	current symbol	MGI:1351661	Akr1c12	aldo-keto reductase family 1, member C12	protein coding gene
AKR1C12	rat synonym	MGI:1351662	Akr1c13	aldo-keto reductase family 1, member C13	protein coding gene
AKR1C13	rat symbol	MGI:1351661	Akr1c12	aldo-keto reductase family 1, member C12	protein coding gene
AKR1C13	current symbol	MGI:1351662	Akr1c13	aldo-keto reductase family 1, member C13	protein coding gene
AKR1C14	current symbol	MGI:2145458	Akr1c14	aldo-keto reductase family 1, member C14	protein coding gene
AKR1C18	current symbol	MGI:2145420	Akr1c18	aldo-keto reductase family 1, member C18	protein coding gene
AKR1C19	current symbol	MGI:2653678	Akr1c19	aldo-keto reductase family 1, member C19	protein coding gene
AKR1C20	current symbol	MGI:2151104	Akr1c20	aldo-keto reductase family 1, member C20	protein coding gene
AKR1C21	current symbol	MGI:1924587	Akr1c21	aldo-keto reductase family 1, member C21	protein coding gene
AKR1C6	current symbol	MGI:1933427	Akr1c6	aldo-keto reductase family 1, member C6	protein coding gene
AKR1CL	current symbol	MGI:1918111	Akr1cl	aldo-keto reductase family 1, member C-like	protein coding gene
AKR1E1	current symbol	MGI:1914758	Akr1e1	aldo-keto reductase family 1, member E1	protein coding gene
AKR7A5	current symbol	MGI:107796	Akr7a5	aldo-keto reductase family 7, member A5 (aflatoxin aldehyde reductase)	protein coding gene
ALDH1A7	old symbol	MGI:107928	Aldh1a2	aldehyde dehydrogenase family 1, subfamily A2	protein coding gene
ALDH1A7	current symbol	MGI:1347050	Aldh1a7	aldehyde dehydrogenase family 1, subfamily A7	protein coding gene
ALDOART1	current symbol	MGI:2447811	Aldoart1	aldolase 1 A, retrogene 1	protein coding gene
ALDOART1	rat synonym	MGI:1931052	Aldoart2	aldolase 1 A, retrogene 2	protein coding gene
ALDOART2	current symbol	MGI:1931052	Aldoart2	aldolase 1 A, retrogene 2	protein coding gene
ALMS1-PS2	current symbol	MGI:3779593	Alms1-ps2	ALMS1, centrosome and basal body associated, pseudogene 2	pseudogene
ALOX12E	current symbol	MGI:1274790	Alox12e	arachidonate lipoxygenase, epidermal	protein coding gene
ALOX8	current symbol	MGI:1098228	Alox8	arachidonate 8-lipoxygenase	protein coding gene
ALPPL2	human synonym	MGI:87984	Akp3	alkaline phosphatase 3, intestine, not Mn requiring	protein coding gene
ALPPL2	human synonym	MGI:1924018	Alpi	alkaline phosphatase, intestinal	protein coding gene
ALPPL2	current symbol	MGI:108009	Alppl2	alkaline phosphatase, placental-like 2	protein coding gene
ALS2CR11	old symbol	MGI:1920713	C2cd6	C2 calcium dependent domain containing 6	protein coding gene
ALS2CR12	old symbol	MGI:1918359	Flacc1	flagellum associated containing coiled-coil domains 1	protein coding gene
ALS2CR4	old symbol	MGI:2138365	Tmem237	transmembrane protein 237	protein coding gene
ALYREF2	current symbol	MGI:1913144	Alyref2	Aly/REF export factor 2	protein coding gene
AMAC1	old symbol	MGI:1927128	Slc35g3	solute carrier family 35, member G3	protein coding gene
AMD2	current symbol	MGI:1333111	Amd2	S-adenosylmethionine decarboxylase 2	protein coding gene
AMD2	synonym	MGI:3588384	Artmd2	arthropathy in MRL and DBA/1 mice 2	QTL
AMICA1	old symbol	MGI:2685484	Jaml	junction adhesion molecule like	protein coding gene
AMY1	current symbol	MGI:88019	Amy1	amylase 1, salivary	protein coding gene
AMY1	human synonym	MGI:104548	Amy2a1	amylase 2a1	protein coding gene
AMY1	human synonym	MGI:3711220	Amy2a2	amylase 2a2	protein coding gene
AMY1	human synonym	MGI:3714985	Amy2a3	amylase 2a3	protein coding gene
AMY1	human synonym	MGI:3711258	Amy2a4	amylase 2a4	protein coding gene
AMY1	human synonym	MGI:88020	Amy2a5	amylase 2a5	protein coding gene
AMY2A2	current symbol	MGI:3711220	Amy2a2	amylase 2a2	protein coding gene
AMY2A3	rat symbol	MGI:3711220	Amy2a2	amylase 2a2	protein coding gene
AMY2A3	current symbol	MGI:3714985	Amy2a3	amylase 2a3	protein coding gene
AMY2A3	rat symbol	MGI:3711258	Amy2a4	amylase 2a4	protein coding gene
AMY2A3	rat symbol	MGI:88020	Amy2a5	amylase 2a5	protein coding gene
AMY2A4	current symbol	MGI:3711258	Amy2a4	amylase 2a4	protein coding gene
AMY2A5	current symbol	MGI:88020	Amy2a5	amylase 2a5	protein coding gene
AMY2B	human symbol	MGI:88019	Amy1	amylase 1, salivary	protein coding gene
AMY2B	human symbol	MGI:104548	Amy2a1	amylase 2a1	protein coding gene
AMY2B	human symbol	MGI:3711220	Amy2a2	amylase 2a2	protein coding gene
AMY2B	human symbol	MGI:3714985	Amy2a3	amylase 2a3	protein coding gene
AMY2B	human symbol	MGI:3711258	Amy2a4	amylase 2a4	protein coding gene
AMY2B	human symbol	MGI:88020	Amy2a5	amylase 2a5	protein coding gene
AMY2B	current symbol	MGI:104547	Amy2b	amylase 2b	protein coding gene
ANG2	rat symbol	MGI:88022	Ang	angiogenin, ribonuclease, RNase A family, 5	protein coding gene
ANG2	current symbol	MGI:104984	Ang2	angiogenin, ribonuclease A family, member 2	protein coding gene
ANG2	cattle symbol	MGI:2656551	Ang4	angiogenin, ribonuclease A family, member 4	protein coding gene
ANG2	synonym	MGI:1202890	Angpt2	angiopoietin 2	protein coding gene
ANG2	human synonym	MGI:1915755	Vps51	VPS51 GARP complex subunit	protein coding gene
ANG3	current symbol	MGI:1201793	Ang3	angiogenin, ribonuclease A family, member 3	protein coding gene
ANG3	human synonym	MGI:1336887	Angpt4	angiopoietin 4	protein coding gene
ANG3	synonym	MGI:1919963	Angptl1	angiopoietin-like 1	protein coding gene
ANG3	human synonym	MGI:1915755	Vps51	VPS51 GARP complex subunit	protein coding gene
ANG4	current symbol	MGI:2656551	Ang4	angiogenin, ribonuclease A family, member 4	protein coding gene
ANG4	human synonym	MGI:1336887	Angpt4	angiopoietin 4	protein coding gene
ANG5	current symbol	MGI:3528599	Ang5	angiogenin, ribonuclease A family, member 5	protein coding gene
ANG6	current symbol	MGI:3528602	Ang6	angiogenin, ribonuclease A family, member 6	protein coding gene
ANK	current symbol	MGI:3045421	Ank	progressive ankylosis	protein coding gene
ANK	human synonym	MGI:88024	Ank1	ankyrin 1, erythroid	protein coding gene
ANKRD32	old symbol	MGI:2145448	Slf1	SMC5-SMC6 complex localization factor 1	protein coding gene
ANKRD5	old symbol	MGI:2441685	Ankef1	ankyrin repeat and EF-hand domain containing 1	protein coding gene
ANKRD60	current symbol	MGI:1917315	Ankrd60	ankyrin repeat domain 60	protein coding gene
ANKS1	current symbol	MGI:2446180	Anks1	ankyrin repeat and SAM domain containing 1	protein coding gene
ANUBL1	old symbol	MGI:1914742	Zfand4	zinc finger, AN1-type domain 4	protein coding gene
ANXA13	current symbol	MGI:1917037	Anxa13	annexin A13	protein coding gene
AOX3	current symbol	MGI:1918974	Aox3	aldehyde oxidase 3	protein coding gene
AOX3L1	old symbol	MGI:3529596	Aox2	aldehyde oxidase 2	protein coding gene
AOX4	current symbol	MGI:1919122	Aox4	aldehyde oxidase 4	protein coding gene
APBA3	current symbol	MGI:1888527	Apba3	amyloid beta (A4) precursor protein-binding, family A, member 3	protein coding gene
APH1C	current symbol	MGI:1915568	Aph1c	aph1 homolog C, gamma secretase subunit	protein coding gene
APITD1	old symbol	MGI:1917178	Cenps	centromere protein S	protein coding gene
APOA1BP	old symbol	MGI:2180167	Naxe	NAD(P)HX epimerase	protein coding gene
APOBEC3	current symbol	MGI:1933111	Apobec3	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 3	protein coding gene
APOL10A	current symbol	MGI:3036238	Apol10a	apolipoprotein L 10A	protein coding gene
APOL10B	current symbol	MGI:3043522	Apol10b	apolipoprotein L 10B	protein coding gene
APOL11A	current symbol	MGI:3649094	Apol11a	apolipoprotein L 11a	protein coding gene
APOL11B	current symbol	MGI:3036248	Apol11b	apolipoprotein L 11b	protein coding gene
APOL7A	current symbol	MGI:1923011	Apol7a	apolipoprotein L 7a	protein coding gene
APOL7B	current symbol	MGI:3583950	Apol7b	apolipoprotein L 7b	protein coding gene
APOL7C	current symbol	MGI:1920912	Apol7c	apolipoprotein L 7c	protein coding gene
APOL7D	current symbol	MGI:3723449	Apol7d	apolipoprotein L 7d	lncRNA gene
APOL7E	current symbol	MGI:3704456	Apol7e	apolipoprotein L 7e	protein coding gene
APOL8	current symbol	MGI:2444921	Apol8	apolipoprotein L 8	protein coding gene
APOL9A	current symbol	MGI:3606001	Apol9a	apolipoprotein L 9a	protein coding gene
APOL9A	rat symbol	MGI:1919148	Apol9b	apolipoprotein L 9b	protein coding gene
APOL9B	current symbol	MGI:1919148	Apol9b	apolipoprotein L 9b	protein coding gene
APON	current symbol	MGI:88931	Apon	apolipoprotein N	protein coding gene
APOO-PS	current symbol	MGI:3649039	Apoo-ps	apolipoprotein O, pseudogene	pseudogene
AQP12	current symbol	MGI:2664636	Aqp12	aquaporin 12	protein coding gene
ARF2	current symbol	MGI:99595	Arf2	ADP-ribosylation factor 2	protein coding gene
ARF2	human synonym	MGI:99433	Arf4	ADP-ribosylation factor 4	protein coding gene
ARPM1	old symbol	MGI:1923902	Actrt3	actin related protein T3	protein coding gene
ART2A-PS	old symbol	MGI:107546	Art2a	ADP-ribosyltransferase 2a	polymorphic pseudogene
ART2B	current symbol	MGI:107545	Art2b	ADP-ribosyltransferase 2b	protein coding gene
ARXES1	current symbol	MGI:1923469	Arxes1	adipocyte-related X-chromosome expressed sequence 1	protein coding gene
ARXES2	rat symbol	MGI:1923469	Arxes1	adipocyte-related X-chromosome expressed sequence 1	protein coding gene
ARXES2	current symbol	MGI:1924226	Arxes2	adipocyte-related X-chromosome expressed sequence 2	protein coding gene
ATHL1	old symbol	MGI:2444047	Pgghg	protein glucosylgalactosylhydroxylysine glucosidase	protein coding gene
ATP5A1	current symbol	MGI:88115	Atp5a1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1	protein coding gene
ATP5B	current symbol	MGI:107801	Atp5b	ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit	protein coding gene
ATP5C1	current symbol	MGI:1261437	Atp5c1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	protein coding gene
ATP5D	current symbol	MGI:1913293	Atp5d	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	protein coding gene
ATP5E	current symbol	MGI:1855697	Atp5e	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	protein coding gene
ATP5F1	old symbol	MGI:1100495	Atp5pb	ATP synthase peripheral stalk-membrane subunit b	protein coding gene
ATP5G1	current symbol	MGI:107653	Atp5g1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	protein coding gene
ATP5G2	current symbol	MGI:1915192	Atp5g2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)	protein coding gene
ATP5G3	current symbol	MGI:2442035	Atp5g3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	protein coding gene
ATP5H	current symbol	MGI:1918929	Atp5h	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit D	protein coding gene
ATP5J	current symbol	MGI:107777	Atp5j	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F	protein coding gene
ATP5J2	current symbol	MGI:1927558	Atp5j2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2	protein coding gene
ATP5K	current symbol	MGI:106636	Atp5k	ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit E	protein coding gene
ATP5L	current symbol	MGI:1351597	Atp5l	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G	protein coding gene
ATP5O	current symbol	MGI:106341	Atp5o	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	protein coding gene
ATP5S	old symbol	MGI:1915305	Dmac2l	distal membrane arm assembly complex 2 like	protein coding gene
ATP5SL	old symbol	MGI:1913599	Dmac2	distal membrane arm assembly complex 2	protein coding gene
ATP6V0C-PS2	current symbol	MGI:2151816	Atp6v0c-ps2	ATPase, H+ transporting, lysosomal V0 subunit C, pseudogene 2	pseudogene
ATP6V0E	current symbol	MGI:1328318	Atp6v0e	ATPase, H+ transporting, lysosomal V0 subunit E	protein coding gene
ATP8B5	current symbol	MGI:2444287	Atp8b5	ATPase, class I, type 8B, member 5	protein coding gene
ATPBD4	old symbol	MGI:1913882	Dph6	diphthamine biosynthesis 6	protein coding gene
ATPIF1	current symbol	MGI:1196457	Atpif1	ATPase inhibitory factor 1	protein coding gene
AYM1	current symbol	MGI:1891321	Aym1	activator of yeast meiotic promoters 1	protein coding gene
AZI1	human synonym	MGI:1859169	Azin1	antizyme inhibitor 1	protein coding gene
AZI1	old symbol	MGI:107440	Cep131	centrosomal protein 131	protein coding gene
B020004C17RIK	current symbol	MGI:3588236	B020004C17Rik	RIKEN cDNA B020004C17 gene	lncRNA gene
B020004J07RIK	old symbol	MGI:3588238	Pramel17	PRAME like 17	protein coding gene
B020014A21RIK	current symbol	MGI:3588281	B020014A21Rik	RIKEN cDNA B020014A21 gene	lncRNA gene
B020018J22RIK	current symbol	MGI:3761288	B020018J22Rik	Riken cDNA B020018J22 gene	lncRNA gene
B020031M17RIK	current symbol	MGI:3588226	B020031M17Rik	RIKEN cDNA B020031M17 gene	protein coding gene
B130006D01RIK	current symbol	MGI:2444371	B130006D01Rik	RIKEN cDNA B130006D01 gene	lncRNA gene
B130024G19RIK	current symbol	MGI:3604353	B130024G19Rik	RIKEN cDNA B130024G19 gene	lncRNA gene
B130034C11RIK	current symbol	MGI:3041186	B130034C11Rik	RIKEN cDNA B130034C11 gene	lncRNA gene
B230118H07RIK	old symbol	MGI:1915420	Iftap	intraflagellar transport associated protein	protein coding gene
B230119M05RIK	current symbol	MGI:1925233	B230119M05Rik	RIKEN cDNA B230119M05 gene	lncRNA gene
B230120H23RIK	old symbol	MGI:2443258	Map3k20	mitogen-activated protein kinase kinase kinase 20	protein coding gene
B230206F22RIK	old symbol	MGI:1926128	Ftx	Ftx transcript, Xist regulator (non-protein coding)	lncRNA gene
B230206H07RIK	current symbol	MGI:2444929	B230206H07Rik	RIKEN cDNA B230206H07 gene	lncRNA gene
B230208H11RIK	current symbol	MGI:2443719	B230208H11Rik	RIKEN cDNA B230208H11 gene	lncRNA gene
B230208H17RIK	old symbol	MGI:2442633	Rabl6	RAB, member RAS oncogene family-like 6	protein coding gene
B230209E15RIK	current symbol	MGI:2442668	B230209E15Rik	RIKEN cDNA B230209E15 gene	lncRNA gene
B230209K01RIK	old symbol	MGI:2685664	Celrr	cerebellum expressed regulatory RNA	lncRNA gene
B230214G05		No associated gene			
B230216N24RIK	current symbol	MGI:1925853	B230216N24Rik	RIKEN cDNA B230216N24 gene	lncRNA gene
B230217C12RIK	current symbol	MGI:1915377	B230217C12Rik	RIKEN cDNA B230217C12 gene	protein coding gene
B230217O12RIK	current symbol	MGI:2444948	B230217O12Rik	RIKEN cDNA B230217O12 gene	lncRNA gene
B230219D22RIK	current symbol	MGI:1925771	B230219D22Rik	RIKEN cDNA B230219D22 gene	protein coding gene
B230312A22RIK	old symbol	MGI:2441854	Fam214b	family with sequence similarity 214, member B	protein coding gene
B230312C02RIK	current symbol	MGI:2444130	B230312C02Rik	RIKEN cDNA B230312C02 gene	lncRNA gene
B230319C09RIK	current symbol	MGI:2444713	B230319C09Rik	RIKEN cDNA B230319C09 gene	lncRNA gene
B230323A14RIK	current symbol	MGI:2443084	B230323A14Rik	RIKEN cDNA B230323A14 gene	lncRNA gene
B230378P21RIK	old symbol	MGI:2442851	Plxna4os1	plexin A4, opposite strand 1	antisense lncRNA gene
B330016D10RIK	current symbol	MGI:2444063	B330016D10Rik	RIKEN cDNA B330016D10 gene	lncRNA gene
B3GALTL	old symbol	MGI:2685903	B3glct	beta-3-glucosyltransferase	protein coding gene
B3GNT1	old symbol	MGI:1889505	B3gnt2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	protein coding gene
B3GNT1	old symbol	MGI:1919680	B4gat1	beta-1,4-glucuronyltransferase 1	protein coding gene
B3GNT9-PS	old symbol	MGI:2142841	B3gnt9	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9	protein coding gene
B430010I23RIK	current symbol	MGI:1926099	B430010I23Rik	RIKEN cDNA B430010I23 gene	lncRNA gene
B430212C06RIK	current symbol	MGI:2442134	B430212C06Rik	RIKEN cDNA B430212C06 gene	lncRNA gene
B430306N03RIK	current symbol	MGI:2443478	B430306N03Rik	RIKEN cDNA B430306N03 gene	protein coding gene
B430319G15RIK	current symbol	MGI:3603454	B430319G15Rik	RIKEN cDNA B430319G15 gene	lncRNA gene
B630005N14RIK	old symbol	MGI:2141466	Bmt2	base methyltransferase of 25S rRNA 2	protein coding gene
B630019K06RIK	current symbol	MGI:2147918	B630019K06Rik	RIKEN cDNA B630019K06 gene	protein coding gene
B830017H08RIK	current symbol	MGI:3045365	B830017H08Rik	RIKEN cDNA B830017H08 gene	protein coding gene
B930003M22RIK	old symbol	MGI:4462384	Cahm	colon adenocarcinoma hypermethylated RNA	lncRNA gene
B930007M17RIK	old symbol	MGI:2685863	Stpg2	sperm tail PG rich repeat containing 2	protein coding gene
B930018H19		No associated gene			
B930025P03RIK	current symbol	MGI:2443166	B930025P03Rik	RIKEN cDNA B930025P03 gene	lncRNA gene
B930041F14RIK	old symbol	MGI:2444790	Fndc10	fibronectin type III domain containing 10	protein coding gene
B930059L03RIK	current symbol	MGI:2442724	B930059L03Rik	RIKEN cDNA B930059L03 gene	lncRNA gene
B930092H01RIK	current symbol	MGI:4437738	B930092H01Rik	RIKEN cDNA B930092H01 gene	lncRNA gene
BB014433	current symbol	MGI:2142823	BB014433	expressed sequence BB014433	protein coding gene
BB014433	Genbank	MGI:2142823	BB014433	expressed sequence BB014433	protein coding gene
BB019430	current symbol	MGI:2143891	BB019430	expressed sequence BB019430	lncRNA gene
BB019430	Genbank	MGI:2143891	BB019430	expressed sequence BB019430	lncRNA gene
BB031773	current symbol	MGI:2140631	BB031773	expressed sequence BB031773	lncRNA gene
BB031773	Genbank	MGI:2140631	BB031773	expressed sequence BB031773	lncRNA gene
BB123696	current symbol	MGI:2145475	BB123696	expressed sequence BB123696	lncRNA gene
BB123696	Genbank	MGI:2145475	BB123696	expressed sequence BB123696	lncRNA gene
BB283400	current symbol	MGI:3034268	BB283400	expressed sequence BB283400	lncRNA gene
BB283400	Genbank	MGI:3034268	BB283400	expressed sequence BB283400	lncRNA gene
BB287469	current symbol	MGI:3034635	BB287469	expressed sequence BB287469	protein coding gene
BB287469	Genbank	MGI:3034635	BB287469	expressed sequence BB287469	protein coding gene
BB557941	current symbol	MGI:3034820	BB557941	expressed sequence BB557941	lncRNA gene
BB557941	Genbank	MGI:3034820	BB557941	expressed sequence BB557941	lncRNA gene
BC002163	old symbol	MGI:3612445	Ndufs5-ps	NADH:ubiquinone oxidoreductase core subunit S5, pseudogene	pseudogene
BC002163	Genbank	MGI:3612445	Ndufs5-ps	NADH:ubiquinone oxidoreductase core subunit S5, pseudogene	pseudogene
BC002230	old symbol	MGI:2670969	Nrde2	nrde-2 necessary for RNA interference, domain containing	protein coding gene
BC002230	Genbank	MGI:2670969	Nrde2	nrde-2 necessary for RNA interference, domain containing	protein coding gene
BC003266	old symbol	MGI:1933141	Smim12	small integral membrane protein 12	protein coding gene
BC003266	Genbank	MGI:1933141	Smim12	small integral membrane protein 12	protein coding gene
BC003331	old symbol	MGI:2385108	Odr4	odr4 GPCR localization factor homolog	protein coding gene
BC003331	Genbank	MGI:2385108	Odr4	odr4 GPCR localization factor homolog	protein coding gene
BC003965	current symbol	MGI:2670966	BC003965	cDNA sequence BC003965	protein coding gene
BC003965	Genbank	MGI:2670966	BC003965	cDNA sequence BC003965	protein coding gene
BC004004	current symbol	MGI:2136782	BC004004	cDNA sequence BC004004	protein coding gene
BC004004	Genbank	MGI:2136782	BC004004	cDNA sequence BC004004	protein coding gene
BC005537	current symbol	MGI:2441726	BC005537	cDNA sequence BC005537	protein coding gene
BC005537	Genbank	MGI:2441726	BC005537	cDNA sequence BC005537	protein coding gene
BC005561	old symbol	MGI:3040669	Thoc2l	THO complex subunit 2-like	protein coding gene
BC005561	Genbank	MGI:3040669	Thoc2l	THO complex subunit 2-like	protein coding gene
BC005624	current symbol	MGI:2385132	BC005624	cDNA sequence BC005624	protein coding gene
BC005624	Genbank	MGI:2385132	BC005624	cDNA sequence BC005624	protein coding gene
BC005764	old symbol	MGI:2388640	Plppr3	phospholipid phosphatase related 3	protein coding gene
BC005764	Genbank	MGI:2388640	Plppr3	phospholipid phosphatase related 3	protein coding gene
BC006779	old symbol	MGI:2385169	Helz2	helicase with zinc finger 2, transcriptional coactivator	protein coding gene
BC006779	Genbank	MGI:2385169	Helz2	helicase with zinc finger 2, transcriptional coactivator	protein coding gene
BC006965	current symbol	MGI:2384955	BC006965	cDNA sequence BC006965	lncRNA gene
BC006965	Genbank	MGI:2384955	BC006965	cDNA sequence BC006965	lncRNA gene
BC013529	old symbol	MGI:2384905	Ginm1	glycoprotein integral membrane 1	protein coding gene
BC013529	Genbank	MGI:2384905	Ginm1	glycoprotein integral membrane 1	protein coding gene
BC013712	old symbol	MGI:2446213	Themis2	thymocyte selection associated family member 2	protein coding gene
BC013712	Genbank	MGI:2446213	Themis2	thymocyte selection associated family member 2	protein coding gene
BC016423	old symbol	MGI:2145274	Tasor2	transcription activation suppressor family member 2	protein coding gene
BC016423	Genbank	MGI:2145274	Tasor2	transcription activation suppressor family member 2	protein coding gene
BC016495	old symbol	MGI:2147434	Nmrk1	nicotinamide riboside kinase 1	protein coding gene
BC016495	Genbank	MGI:2147434	Nmrk1	nicotinamide riboside kinase 1	protein coding gene
BC016579	current symbol	MGI:2384848	BC016579	cDNA sequence, BC016579	protein coding gene
BC016579	Genbank	MGI:2384848	BC016579	cDNA sequence, BC016579	protein coding gene
BC017158	old symbol	MGI:2384572	Rusf1	RUS family member 1	protein coding gene
BC017158	Genbank	MGI:2384572	Rusf1	RUS family member 1	protein coding gene
BC017612	old symbol	MGI:3039636	Smco4	single-pass membrane protein with coiled-coil domains 4	protein coding gene
BC017612	Genbank	MGI:3039636	Smco4	single-pass membrane protein with coiled-coil domains 4	protein coding gene
BC017643	old symbol	MGI:2384959	Cybc1	cytochrome b 245 chaperone 1	protein coding gene
BC017643	Genbank	MGI:2384959	Cybc1	cytochrome b 245 chaperone 1	protein coding gene
BC017647	old symbol	MGI:2384939	Fam222b	family with sequence similarity 222, member B	protein coding gene
